price,baseAssetAmount,direction,user,status,orderType,marketType,slot,orderId,userOrderId,marketIndex,baseAssetAmountFilled,quoteAssetAmountFilled,reduceOnly,triggerPrice,triggerCondition,existingPositionDirection,postOnly,immediateOrCancel,oraclePriceOffset,auctionDuration,auctionStartPrice,auctionEndPrice,maxTs,oraclePrice
5.4328,57.3,long,3wGuFiKba2upyGurAZ6QV65Y9qw872ocQuNmkyk3HZre,open,limit,perp,167675510,7,0,0,0.0,0.0,True,0,above,short,False,False,0.0,10,0,0,0,12.34515
7.67,25.0,long,7pPXa2Wjf4fMU6bjALndNXc38ok7JwBPxd8UU1niZA97,open,limit,perp,167596010,18,0,0,0.0,0.0,True,0,above,short,False,False,0.0,10,0,0,0,12.34515
8.18,25.0,long,7pPXa2Wjf4fMU6bjALndNXc38ok7JwBPxd8UU1niZA97,open,limit,perp,167595987,17,0,0,0.0,0.0,True,0,above,short,False,False,0.0,10,0,0,0,12.34515
8.89,25.0,long,7pPXa2Wjf4fMU6bjALndNXc38ok7JwBPxd8UU1niZA97,open,limit,perp,162336308,9,0,0,0.0,0.0,True,0,above,short,False,False,0.0,10,0,0,0,12.34515
9.42,25.0,long,7pPXa2Wjf4fMU6bjALndNXc38ok7JwBPxd8UU1niZA97,open,limit,perp,162336331,10,0,0,0.0,0.0,True,0,above,short,False,False,0.0,10,0,0,0,12.34515
9.97,25.0,long,7pPXa2Wjf4fMU6bjALndNXc38ok7JwBPxd8UU1niZA97,open,limit,perp,162336356,11,0,0,0.0,0.0,True,0,above,short,False,False,0.0,10,0,0,0,12.34515
10.37,25.0,long,7pPXa2Wjf4fMU6bjALndNXc38ok7JwBPxd8UU1niZA97,open,limit,perp,162336397,12,0,0,0.0,0.0,True,0,above,short,False,False,0.0,10,0,0,0,12.34515
11.0,100.0,long,73m2xU876xoCokd5YM8bNMtJSBCXEQrom2d5LonPH1hh,open,limit,perp,166112260,53,0,0,0.0,0.0,False,0,above,long,False,False,0.0,10,0,0,0,12.34515
11.11,50.0,long,7pPXa2Wjf4fMU6bjALndNXc38ok7JwBPxd8UU1niZA97,open,limit,perp,167595917,16,0,0,0.0,0.0,True,0,above,short,False,False,0.0,10,0,0,0,12.34515
11.22,2.0,long,DGJxg88Si53gZpmoeXoqd2hXW1qfpf8oLHhMAMne1bP5,open,limit,perp,165242084,35,0,0,0.0,0.0,False,0,above,long,False,False,0.0,10,0,0,0,12.34515
11.22,2.0,long,DGJxg88Si53gZpmoeXoqd2hXW1qfpf8oLHhMAMne1bP5,open,limit,perp,165242136,37,0,0,0.0,0.0,False,0,above,long,False,False,0.0,10,0,0,0,12.34515
11.45,2.0,long,DGJxg88Si53gZpmoeXoqd2hXW1qfpf8oLHhMAMne1bP5,open,limit,perp,165242104,36,0,0,0.0,0.0,False,0,above,long,False,False,0.0,10,0,0,0,12.34515
11.687,186.4,long,G3tx5gySVrSXB4Y2iweQUKkjjNjGGs9bsjWR3VpLTdmP,open,limit,perp,166253904,57,0,0,0.0,0.0,False,0,above,long,True,False,0.0,10,0,0,0,12.34515
11.87,1200.7,long,9CNuKaJ7zzDvUHQpGmjB4akDYBFv6HXqhmxAQYx9Qw7w,open,limit,perp,167888772,2,0,0,0.0,0.0,False,0,above,short,False,False,0.0,10,0,0,0,12.34515
11.873,191.8,long,G3tx5gySVrSXB4Y2iweQUKkjjNjGGs9bsjWR3VpLTdmP,open,limit,perp,166253935,58,0,0,0.0,0.0,False,0,above,long,True,False,0.0,10,0,0,0,12.34515
12.308,1.0,long,Bo7JfHwR15rmn3WbtFCZVRCbwmBZnquzn1iqRWPtdcay,open,limit,perp,167947662,1412,0,0,0.0,0.0,False,0,above,short,True,False,0.0,10,0,0,1671523191,12.34515
